mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
3	3	7	7	1.0	1/4	1/4	Chord	4/4	6	1	1/4	1/4	1	44					
3	3	8	8	2.0	1/2	1/2	Chord	4/4	6	1	1/2	1/2	1	45					
3	3	6	6	2.0	0	0	Chord	4/4	6	2	1/2	1/2	1	46					
3	3	8	8	2.0	1/2	1/2	Chord	4/4	6	2	1/2	1/2	1	47					
3	3	6	6	0.0	0	0	FiguredBass	4/4	7	1	0					1/2	7		
3	3	6	6	2.0	0	0	Chord	4/4	7	1	1/2	1/2	1	48					
3	3	8	8	0.0	1/2	1/2	FiguredBass	4/4	7	1	0					1/2	6		
3	3	8	8	2.0	1/2	1/2	Chord	4/4	7	1	1/2	1/2	1	49					
3	3	6	6	2.0	0	0	Chord	4/4	8	1	1/2	1/2	1	50					
3	3	8	8	2.0	1/2	1/2	Chord	4/4	8	1	1/2	1/2	1	51					
4	4	10	10	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	52					1
4	4	11	11	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	53					
4	4	12	12	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	54	ornamentTremblement				
4	4	10	10	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	55					
4	4	12	12	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	56	ornamentTremblement				
4	4	10	10	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	57					
4	4	12	12	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	58					
4	4	10	10	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	59					
4	4	12	12	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	60					
4	4	10	10	1.0	0	0	Chord	4/4	5	1	1/4	1/4	1	61					
4	4	11	11	1.0	1/4	1/4	Chord	4/4	5	1	1/4	1/4	1	62					
4	4	12	12	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	63	ornamentTremblement				
4	4	10	10	2.0	0	0	Chord	4/4	5	2	1/2	1/2	1	64					
4	4	12	12	2.0	1/2	1/2	Chord	4/4	5	2	1/2	1/2	1	65					
4	4	10	10	2.0	0	0	Chord	4/4	6	1	1/2	1/2	1	66					
4	4	12	12	1.0	1/2	1/2	Chord	4/4	6	1	1/4	1/4	1	67					
4	4	13	13	1.0	3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	68					
4	4	10	10	2.0	0	0	Chord	4/4	6	2	1/2	1/2	1	69					
4	4	12	12	2.0	1/2	1/2	Chord	4/4	6	2	1/2	1/2	1	70					
4	4	10	10	1.0	0	0	Chord	4/4	7	1	1/4	1/4	1	71					
4	4	11	11	1.0	1/4	1/4	Chord	4/4	7	1	1/4	1/4	1	72					
4	4	12	12	2.0	1/2	1/2	Chord	4/4	7	1	1/2	1/2	1	73	ornamentTremblement				
4	4	10	10	2.0	0	0	Chord	4/4	8	1	1/2	1/2	1	74					
4	4	12	12	2.0	1/2	1/2	Chord	4/4	8	1	1/2	1/2	1	75					
5	5	14	14	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	76					
5	5	16	16	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	77					
5	5	14	14	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	78					
5	5	16	16	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	79					
5	5	14	14	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	80					
5	5	16	16	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	81					
5	5	14	14	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	82					
5	5	16	16	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	83					
5	5	14	14	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	84					
5	5	16	16	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	85					
5	5	14	14	2.0	0	0	Chord	4/4	5	2	1/2	1/2	1	86					
5	5	16	16	2.0	1/2	1/2	Chord	4/4	5	2	1/2	1/2	1	87					
5	5	14	14	2.0	0	0	Chord	4/4	6	1	1/2	1/2	1	88					
5	5	16	16	2.0	1/2	1/2	Chord	4/4	6	1	1/2	1/2	1	89					
5	5	14	14	2.0	0	0	Chord	4/4	6	2	1/2	1/2	1	90					
5	5	16	16	2.0	1/2	1/2	Chord	4/4	6	2	1/2	1/2	1	91					
5	5	14	14	2.0	0	0	Chord	4/4	7	1	1/2	1/2	1	92					
5	5	16	16	2.0	1/2	1/2	Chord	4/4	7	1	1/2	1/2	1	93					
5	5	14	14	2.0	0	0	Chord	4/4	8	1	1/2	1/2	1	94					
5	5	16	16	2.0	1/2	1/2	Chord	4/4	8	1	1/2	1/2	1	95					
6	6	18	18	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	96					
6	6	20	20	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	97					2
6	6	21	21	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	98					
6	6	18	18	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	99					
6	6	20	20	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	100					
6	6	18	18	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	101					
6	6	20	20	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	102					
6	6	18	18	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	103					
6	6	20	20	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	104					
6	6	18	18	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	105					
6	6	20	20	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	106					
6	6	21	21	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	107					
6	6	18	18	4.0	0	0	Chord	4/4	5	2	1	1	1	108					
6	6	18	18	2.0	0	0	Chord	4/4	6	1	1/2	1/2	1	109					
6	6	20	20	2.0	1/2	1/2	Chord	4/4	6	1	1/2	1/2	1	110					
6	6	18	18	2.0	0	0	Chord	4/4	6	2	1/2	1/2	1	111					
6	6	20	20	2.0	1/2	1/2	Chord	4/4	6	2	1/2	1/2	1	112					
6	6	18	18	0.0	0	0	FiguredBass	4/4	7	1	0					1/2	5		
6	6	18	18	2.0	0	0	Chord	4/4	7	1	1/2	1/2	1	113					
6	6	20	20	1.0	1/2	1/2	Chord	4/4	7	1	1/4	1/4	1	114					
6	6	21	21	1.0	3/4	3/4	Chord	4/4	7	1	1/4	1/4	1	115					
6	6	18	18	2.0	0	0	Chord	4/4	8	1	1/2	1/2	1	116					
6	6	20	20	2.0	1/2	1/2	Chord	4/4	8	1	1/2	1/2	1	117					
7	7	22	22	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	118					
7	7	24	24	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	119					
7	7	22	22	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	120					
7	7	24	24	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	121					
7	7	22	22	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	122					
7	7	24	24	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	123					
7	7	22	22	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	124					
7	7	24	24	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	125					
7	7	22	22	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	126					
7	7	24	24	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	127					
7	7	22	22	4.0	0	0	Chord	4/4	5	2	1	1	1	128					
7	7	22	22	2.0	0	0	Chord	4/4	6	1	1/2	1/2	1	129					
7	7	24	24	2.0	1/2	1/2	Chord	4/4	6	1	1/2	1/2	1	130					
7	7	22	22	2.0	0	0	Chord	4/4	6	2	1/2	1/2	1	131					
7	7	24	24	2.0	1/2	1/2	Chord	4/4	6	2	1/2	1/2	1	132					
7	7	22	22	2.0	0	0	Chord	4/4	7	1	1/2	1/2	1	133					
7	7	24	24	0.0	1/2	1/2	FiguredBass	4/4	7	1	0					1/2	6		
7	7	24	24	2.0	1/2	1/2	Chord	4/4	7	1	1/2	1/2	1	134					
7	7	22	22	2.0	0	0	Chord	4/4	8	1	1/2	1/2	1	135					
7	7	24	24	2.0	1/2	1/2	Chord	4/4	8	1	1/2	1/2	1	136					
8	8	26	26	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	137					3
8	8	28	28	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	138	ornamentTremblement				
8	8	26	26	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	139					4
8	8	28	28	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	140					
8	8	26	26	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	141					5
8	8	28	28	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	142	ornamentTremblement				
8	8	26	26	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	143					6
8	8	27	27	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	144					6
8	8	28	28	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	145					
8	8	26	26	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	146					
8	8	28	28	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	147	ornamentTremblement				
8	8	26	26	4.0	0	0	Chord	4/4	5	2	1	1	1	148					
8	8	26	26	2.0	0	0	Chord	4/4	6	1	1/2	1/2	1	149					
8	8	28	28	1.0	1/2	1/2	Chord	4/4	6	1	1/4	1/4	1	150					
8	8	29	29	1.0	3/4	3/4	Chord	4/4	6	1	1/4	1/4	1	151					
8	8	26	26	1.0	0	0	Chord	4/4	6	2	1/4	1/4	1	152					
8	8	27	27	1.0	1/4	1/4	Chord	4/4	6	2	1/4	1/4	1	153					
8	8	28	28	2.0	1/2	1/2	Chord	4/4	6	2	1/2	1/2	1	154					
8	8	26	26	0.0	0	0	FiguredBass	4/4	7	1	0					1/2	6		
8	8	26	26	2.0	0	0	Chord	4/4	7	1	1/2	1/2	1	155					
8	8	28	28	2.0	1/2	1/2	Chord	4/4	7	1	1/2	1/2	1	156	ornamentTremblement				
8	8	26	26	1.0	0	0	Chord	4/4	8	1	1/4	1/4	1	157					
8	8	27	27	1.0	1/4	1/4	Chord	4/4	8	1	1/4	1/4	1	158					
8	8	28	28	2.0	1/2	1/2	Chord	4/4	8	1	1/2	1/2	1	159					
9	9	30	30	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	160					
9	9	30	30	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	161					
9	9	30	30	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	162					
9	9	30	30	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	163					
9	9	30	30	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	164					
9	9	30	30	2.0	0	0	Chord	4/4	5	2	1/2	1/2	1	165					
9	9	30	30	2.0	0	0	Chord	4/4	6	1	1/2	1/2	1	166					
9	9	30	30	2.0	0	0	Chord	4/4	6	2	1/2	1/2	1	167					
9	9	30	30	2.0	0	0	Chord	4/4	7	1	1/2	1/2	1	168					
9	9	30	30	2.0	0	0	Chord	4/4	8	1	1/2	1/2	1	169					
10	10	32	32	2.0	0	1/2	Chord	4/4	1	1	1/2	1/2	1	170					
10	10	32	32	2.0	0	1/2	Chord	4/4	2	1	1/2	1/2	1	171					
10	10	32	32	2.0	0	1/2	Chord	4/4	3	1	1/2	1/2	1	172					
10	10	32	32	2.0	0	1/2	Chord	4/4	4	1	1/2	1/2	1	173					
10	10	32	32	2.0	0	1/2	Chord	4/4	5	1	1/2	1/2	1	174					
10	10	32	32	2.0	0	1/2	Chord	4/4	5	2	1/2	1/2	1	175					
10	10	32	32	2.0	0	1/2	Chord	4/4	6	1	1/2	1/2	1	176					
10	10	32	32	2.0	0	1/2	Chord	4/4	6	2	1/2	1/2	1	177					
10	10	32	32	0.0	0	1/2	FiguredBass	4/4	7	1	0					1/2	6		
10	10	32	32	2.0	0	1/2	Chord	4/4	7	1	1/2	1/2	1	178					
10	10	32	32	2.0	0	1/2	Chord	4/4	8	1	1/2	1/2	1	179					
11	11	34	34	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	180					
11	11	36	36	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	181					
11	11	34	34	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	182					
11	11	36	36	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	183					
11	11	34	34	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	184					
11	11	36	36	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	185					
11	11	34	34	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	186					
11	11	36	36	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	187					
11	11	34	34	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	188					
11	11	36	36	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	189					
11	11	34	34	2.0	0	0	Chord	4/4	5	2	1/2	1/2	1	190					
11	11	36	36	2.0	1/2	1/2	Chord	4/4	5	2	1/2	1/2	1	191					
11	11	34	34	2.0	0	0	Chord	4/4	6	1	1/2	1/2	1	192					
11	11	36	36	2.0	1/2	1/2	Chord	4/4	6	1	1/2	1/2	1	193					
11	11	34	34	2.0	0	0	Chord	4/4	6	2	1/2	1/2	1	194					
11	11	36	36	2.0	1/2	1/2	Chord	4/4	6	2	1/2	1/2	1	195					
11	11	34	34	0.0	0	0	FiguredBass	4/4	7	1	0					1/2	5		
11	11	34	34	2.0	0	0	Chord	4/4	7	1	1/2	1/2	1	196					
11	11	36	36	2.0	1/2	1/2	Chord	4/4	7	1	1/2	1/2	1	197					
11	11	34	34	2.0	0	0	Chord	4/4	8	1	1/2	1/2	1	198					
11	11	36	36	2.0	1/2	1/2	Chord	4/4	8	1	1/2	1/2	1	199					
12	12	38	38	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	200					
12	12	40	40	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	201					
12	12	38	38	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	202					
12	12	40	40	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	203					
12	12	38	38	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	204					
12	12	40	40	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	205					
12	12	38	38	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	206					
12	12	40	40	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	207					
12	12	38	38	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	208					
12	12	40	40	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	209					
12	12	38	38	2.0	0	0	Chord	4/4	5	2	1/2	1/2	1	210					
12	12	40	40	2.0	1/2	1/2	Chord	4/4	5	2	1/2	1/2	1	211					
12	12	38	38	2.0	0	0	Chord	4/4	6	1	1/2	1/2	1	212					
12	12	40	40	2.0	1/2	1/2	Chord	4/4	6	1	1/2	1/2	1	213					
12	12	38	38	2.0	0	0	Chord	4/4	6	2	1/2	1/2	1	214					
12	12	40	40	2.0	1/2	1/2	Chord	4/4	6	2	1/2	1/2	1	215					
12	12	38	38	2.0	0	0	Chord	4/4	7	1	1/2	1/2	1	216					
12	12	40	40	2.0	1/2	1/2	Chord	4/4	7	1	1/2	1/2	1	217					
12	12	38	38	2.0	0	0	Chord	4/4	8	1	1/2	1/2	1	218					
12	12	40	40	2.0	1/2	1/2	Chord	4/4	8	1	1/2	1/2	1	219					
13	13	42	42	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	220					
13	13	44	44	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	221	ornamentTremblement				
13	13	42	42	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	222					
13	13	44	44	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	223	ornamentTremblement				
13	13	42	42	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	224					
13	13	44	44	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	225					
13	13	42	42	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	226					
13	13	44	44	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	227					
13	13	42	42	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	228					
13	13	44	44	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	229	ornamentTremblement				
13	13	42	42	2.0	0	0	Chord	4/4	5	2	1/2	1/2	1	230					
13	13	44	44	2.0	1/2	1/2	Chord	4/4	5	2	1/2	1/2	1	231					
13	13	42	42	2.0	0	0	Chord	4/4	6	1	1/2	1/2	1	232					
13	13	44	44	2.0	1/2	1/2	Chord	4/4	6	1	1/2	1/2	1	233					
13	13	42	42	2.0	0	0	Chord	4/4	6	2	1/2	1/2	1	234					
13	13	44	44	2.0	1/2	1/2	Chord	4/4	6	2	1/2	1/2	1	235					
13	13	42	42	2.0	0	0	Chord	4/4	7	1	1/2	1/2	1	236					
13	13	44	44	0.0	1/2	1/2	FiguredBass	4/4	7	1	0					1/2	6		
13	13	44	44	2.0	1/2	1/2	Chord	4/4	7	1	1/2	1/2	1	237	ornamentTremblement				
13	13	42	42	2.0	0	0	Chord	4/4	8	1	1/2	1/2	1	238					
13	13	44	44	2.0	1/2	1/2	Chord	4/4	8	1	1/2	1/2	1	239					
14	14	46	46	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	240					
14	14	48	48	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	241					
14	14	46	46	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	242					
14	14	48	48	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	243					
14	14	46	46	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	244					
14	14	48	48	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	245					
14	14	46	46	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	246					
14	14	48	48	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	247					
14	14	46	46	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	248					
14	14	48	48	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	249					
14	14	46	46	2.0	0	0	Chord	4/4	5	2	1/2	1/2	1	250					
14	14	48	48	2.0	1/2	1/2	Chord	4/4	5	2	1/2	1/2	1	251					
14	14	46	46	2.0	0	0	Chord	4/4	6	1	1/2	1/2	1	252					
14	14	48	48	2.0	1/2	1/2	Chord	4/4	6	1	1/2	1/2	1	253					
14	14	46	46	2.0	0	0	Chord	4/4	6	2	1/2	1/2	1	254					
14	14	48	48	2.0	1/2	1/2	Chord	4/4	6	2	1/2	1/2	1	255					
14	14	46	46	2.0	0	0	Chord	4/4	7	1	1/2	1/2	1	256					
14	14	48	48	0.0	1/2	1/2	FiguredBass	4/4	7	1	0					1/2	2		
14	14	48	48	2.0	1/2	1/2	Chord	4/4	7	1	1/2	1/2	1	257					
14	14	46	46	2.0	0	0	Chord	4/4	8	1	1/2	1/2	1	258					
14	14	48	48	2.0	1/2	1/2	Chord	4/4	8	1	1/2	1/2	1	259					
15	15	50	50	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	260					
15	15	52	52	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	261					
15	15	50	50	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	262					
15	15	52	52	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	263					
15	15	50	50	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	264					
15	15	52	52	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	265					
15	15	50	50	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	266					
15	15	52	52	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	267					
15	15	50	50	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	268					
15	15	52	52	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	269					
15	15	50	50	2.0	0	0	Chord	4/4	5	2	1/2	1/2	1	270					
15	15	52	52	2.0	1/2	1/2	Chord	4/4	5	2	1/2	1/2	1	271					
15	15	50	50	4.0	0	0	Chord	4/4	6	1	1	1	1	272					
15	15	50	50	2.0	0	0	Chord	4/4	6	2	1/2	1/2	1	273					
15	15	52	52	2.0	1/2	1/2	Chord	4/4	6	2	1/2	1/2	1	274					
15	15	50	50	0.0	0	0	FiguredBass	4/4	7	1	0					1/2	6		
15	15	50	50	2.0	0	0	Chord	4/4	7	1	1/2	1/2	1	275					
15	15	52	52	2.0	1/2	1/2	Chord	4/4	7	1	1/2	1/2	1	276					
15	15	50	50	2.0	0	0	Chord	4/4	8	2	1/2	1/2	1	277					
15	15	52	52	2.0	1/2	1/2	Chord	4/4	8	2	1/2	1/2	1	278					
16	16	54	54	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	279					
16	16	56	56	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	280					7
16	16	57	57	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	281					
16	16	54	54	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	282					
16	16	56	56	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	283					
16	16	54	54	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	284					
16	16	56	56	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	285					
16	16	54	54	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	286					
16	16	56	56	2.0	1/2	1/2	Chord	4/4	4	1	1/2	1/2	1	287					
16	16	54	54	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	288					
16	16	56	56	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	289					
16	16	57	57	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	290					
16	16	54	54	2.0	0	0	Chord	4/4	5	2	1/2	1/2	1	291					
16	16	56	56	2.0	1/2	1/2	Chord	4/4	5	2	1/2	1/2	1	292					
16	16	54	54	2.0	0	0	Chord	4/4	6	1	1/2	1/2	1	293					
16	16	56	56	2.0	1/2	1/2	Chord	4/4	6	1	1/2	1/2	1	294					
16	16	54	54	2.0	0	0	Chord	4/4	6	2	1/2	1/2	1	295					
16	16	56	56	2.0	1/2	1/2	Chord	4/4	6	2	1/2	1/2	1	296					
16	16	54	54	2.0	0	0	Chord	4/4	7	1	1/2	1/2	1	297					
16	16	56	56	1.0	1/2	1/2	Chord	4/4	7	1	1/4	1/4	1	298					
16	16	57	57	1.0	3/4	3/4	Chord	4/4	7	1	1/4	1/4	1	299					
16	16	54	54	2.0	0	0	Chord	4/4	8	2	1/2	1/2	1	300					
16	16	56	56	2.0	1/2	1/2	Chord	4/4	8	2	1/2	1/2	1	301					
17	17	58	58	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	302					
17	17	60	60	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	303	ornamentTremblement				
17	17	58	58	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	304					
17	17	60	60	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	305					8
